Date,Product_Line,Defect_Type,Shift,Inspector,Units_Inspected,Defects_Found,Pass,Defect_Rate_%
2023-01-31,Component X,Surface Defect,Afternoon,Inspector 4,154,11,0,7.14
2023-01-31,Sub-System Z,No Defect,Night,Inspector 2,182,0,1,0.0
2023-02-02,Sub-System Z,No Defect,Afternoon,Inspector 3,84,0,1,0.0
2023-02-02,Assembly A,No Defect,Morning,Inspector 1,259,0,1,0.0
2023-02-04,Assembly A,Assembly Fault,Afternoon,Inspector 2,183,6,0,3.28
2023-02-04,Sub-System Z,No Defect,Morning,Inspector 1,290,0,1,0.0
2023-02-04,Assembly A,No Defect,Night,Inspector 2,298,0,1,0.0
2023-02-05,Assembly A,No Defect,Afternoon,Inspector 3,114,0,1,0.0
2023-02-06,Assembly A,Assembly Fault,Morning,Inspector 4,60,8,0,13.33
2023-02-06,Component Y,Dimensional Error,Morning,Inspector 1,130,2,0,1.54
2023-02-06,Sub-System Z,No Defect,Morning,Inspector 2,255,0,1,0.0
2023-02-06,Sub-System Z,No Defect,Morning,Inspector 3,148,0,1,0.0
2023-02-07,Component X,No Defect,Night,Inspector 1,246,0,1,0.0
2023-02-07,Component X,No Defect,Morning,Inspector 3,97,0,1,0.0
2023-02-08,Assembly A,No Defect,Afternoon,Inspector 2,252,0,1,0.0
2023-02-08,Assembly A,No Defect,Morning,Inspector 4,145,0,1,0.0
2023-02-09,Sub-System Z,No Defect,Morning,Inspector 3,235,0,1,0.0
2023-02-09,Sub-System Z,Surface Defect,Morning,Inspector 2,60,14,0,23.33
2023-02-10,Sub-System Z,No Defect,Afternoon,Inspector 4,146,0,1,0.0
2023-02-10,Component Y,No Defect,Afternoon,Inspector 3,194,0,1,0.0
2023-02-11,Component Y,No Defect,Morning,Inspector 3,164,0,1,0.0
2023-02-11,Assembly A,Dimensional Error,Morning,Inspector 2,187,10,0,5.35
2023-02-11,Assembly A,Assembly Fault,Night,Inspector 2,278,12,0,4.32
2023-02-11,Component X,Dimensional Error,Night,Inspector 2,83,9,0,10.84
2023-02-11,Component Y,No Defect,Afternoon,Inspector 1,214,0,1,0.0
2023-02-11,Sub-System Z,No Defect,Night,Inspector 1,237,0,1,0.0
2023-02-12,Assembly A,Surface Defect,Night,Inspector 1,269,3,0,1.12
2023-02-12,Component Y,Material Flaw,Night,Inspector 2,179,13,0,7.26
2023-02-12,Assembly B,No Defect,Night,Inspector 3,292,0,1,0.0
2023-02-12,Component Y,Surface Defect,Night,Inspector 2,259,14,0,5.41
2023-02-12,Assembly B,Material Flaw,Afternoon,Inspector 2,182,11,0,6.04
2023-02-13,Component X,No Defect,Morning,Inspector 1,123,0,1,0.0
2023-02-13,Assembly B,No Defect,Morning,Inspector 4,256,0,1,0.0
2023-02-14,Sub-System Z,No Defect,Morning,Inspector 4,284,0,1,0.0
2023-02-14,Component X,No Defect,Night,Inspector 1,264,0,1,0.0
2023-02-14,Assembly A,Surface Defect,Afternoon,Inspector 1,184,12,0,6.52
2023-02-15,Assembly B,Surface Defect,Night,Inspector 3,131,11,0,8.4
2023-02-15,Component X,Dimensional Error,Morning,Inspector 2,126,1,0,0.79
2023-02-15,Component Y,No Defect,Afternoon,Inspector 4,209,0,1,0.0
2023-02-16,Component Y,No Defect,Night,Inspector 1,229,0,1,0.0
2023-02-16,Component Y,No Defect,Afternoon,Inspector 1,103,0,1,0.0
2023-02-16,Assembly A,No Defect,Afternoon,Inspector 3,112,0,1,0.0
2023-02-16,Component X,Surface Defect,Afternoon,Inspector 3,173,6,0,3.47
2023-02-16,Assembly A,No Defect,Afternoon,Inspector 1,110,0,1,0.0
2023-02-16,Assembly A,Material Flaw,Morning,Inspector 3,225,2,0,0.89
2023-02-17,Sub-System Z,Surface Defect,Morning,Inspector 4,162,3,0,1.85
2023-02-18,Assembly A,Surface Defect,Night,Inspector 3,162,5,0,3.09
2023-02-18,Assembly A,Material Flaw,Night,Inspector 4,173,1,0,0.58
2023-02-19,Assembly B,Surface Defect,Night,Inspector 1,133,3,0,2.26
2023-02-19,Assembly B,No Defect,Night,Inspector 1,121,0,1,0.0
2023-02-20,Component Y,No Defect,Afternoon,Inspector 3,83,0,1,0.0
2023-02-20,Component X,No Defect,Morning,Inspector 1,231,0,1,0.0
2023-02-20,Assembly A,No Defect,Night,Inspector 1,256,0,1,0.0
2023-02-20,Sub-System Z,No Defect,Night,Inspector 2,242,0,1,0.0
2023-02-20,Assembly B,No Defect,Afternoon,Inspector 3,283,0,1,0.0
2023-02-20,Assembly A,Assembly Fault,Morning,Inspector 2,204,5,0,2.45
2023-02-21,Assembly A,No Defect,Morning,Inspector 2,240,0,1,0.0
2023-02-22,Component X,Dimensional Error,Night,Inspector 2,64,7,0,10.94
2023-02-22,Component Y,No Defect,Afternoon,Inspector 1,163,0,1,0.0
2023-02-22,Assembly B,Dimensional Error,Morning,Inspector 4,167,4,0,2.4
2023-02-22,Assembly B,No Defect,Night,Inspector 3,289,0,1,0.0
2023-02-22,Assembly B,No Defect,Morning,Inspector 1,206,0,1,0.0
2023-02-23,Sub-System Z,Assembly Fault,Afternoon,Inspector 2,84,14,0,16.67
2023-02-23,Component X,Surface Defect,Morning,Inspector 4,102,12,0,11.76
2023-02-23,Component X,Dimensional Error,Morning,Inspector 3,179,14,0,7.82
2023-02-23,Component X,Surface Defect,Morning,Inspector 3,67,3,0,4.48
2023-02-23,Assembly B,Surface Defect,Afternoon,Inspector 3,242,10,0,4.13
2023-02-23,Assembly B,No Defect,Night,Inspector 1,123,0,1,0.0
2023-02-24,Component Y,No Defect,Night,Inspector 4,79,0,1,0.0
2023-02-24,Component Y,Assembly Fault,Morning,Inspector 2,262,8,0,3.05
2023-02-24,Sub-System Z,No Defect,Morning,Inspector 3,142,0,1,0.0
2023-02-26,Assembly B,No Defect,Afternoon,Inspector 1,95,0,1,0.0
2023-02-27,Assembly B,Surface Defect,Morning,Inspector 2,72,9,0,12.5
2023-02-28,Component X,No Defect,Night,Inspector 2,229,0,1,0.0
2023-02-28,Assembly B,No Defect,Afternoon,Inspector 3,185,0,1,0.0
2023-02-28,Assembly A,No Defect,Night,Inspector 2,98,0,1,0.0
2023-02-28,Assembly A,Assembly Fault,Morning,Inspector 3,263,5,0,1.9
2023-02-28,Assembly A,No Defect,Morning,Inspector 3,277,0,1,0.0
2023-02-28,Component Y,No Defect,Night,Inspector 1,71,0,1,0.0
2023-03-01,Component X,No Defect,Afternoon,Inspector 3,199,0,1,0.0
2023-03-01,Assembly B,No Defect,Afternoon,Inspector 3,179,0,1,0.0
2023-03-02,Sub-System Z,No Defect,Afternoon,Inspector 3,157,0,1,0.0
2023-03-02,Sub-System Z,Surface Defect,Afternoon,Inspector 3,233,14,0,6.01
2023-03-02,Component X,No Defect,Afternoon,Inspector 2,162,0,1,0.0
2023-03-02,Assembly A,No Defect,Afternoon,Inspector 4,286,0,1,0.0
2023-03-03,Component Y,Assembly Fault,Night,Inspector 1,93,7,0,7.53
2023-03-04,Component Y,No Defect,Night,Inspector 1,115,0,1,0.0
2023-03-04,Sub-System Z,Material Flaw,Morning,Inspector 4,118,10,0,8.47
2023-03-05,Assembly B,No Defect,Night,Inspector 2,60,0,1,0.0
2023-03-06,Assembly B,No Defect,Night,Inspector 2,262,0,1,0.0
2023-03-06,Component Y,No Defect,Night,Inspector 1,170,0,1,0.0
2023-03-06,Sub-System Z,Material Flaw,Night,Inspector 1,77,7,0,9.09
2023-03-06,Component X,No Defect,Night,Inspector 3,200,0,1,0.0
2023-03-07,Assembly A,No Defect,Morning,Inspector 4,213,0,1,0.0
2023-03-07,Assembly A,No Defect,Morning,Inspector 2,52,0,1,0.0
2023-03-07,Component Y,No Defect,Afternoon,Inspector 2,230,0,1,0.0
2023-03-07,Assembly A,Assembly Fault,Afternoon,Inspector 1,161,2,0,1.24
2023-03-08,Sub-System Z,Assembly Fault,Morning,Inspector 2,107,10,0,9.35
2023-03-10,Sub-System Z,No Defect,Afternoon,Inspector 3,51,0,1,0.0
2023-03-10,Component Y,Material Flaw,Morning,Inspector 1,131,3,0,2.29
2023-03-10,Assembly A,Dimensional Error,Afternoon,Inspector 2,241,6,0,2.49
2023-03-10,Component Y,Dimensional Error,Afternoon,Inspector 4,87,6,0,6.9
2023-03-10,Assembly B,No Defect,Night,Inspector 4,267,0,1,0.0
2023-03-11,Component X,No Defect,Night,Inspector 1,181,0,1,0.0
2023-03-11,Assembly A,Surface Defect,Night,Inspector 3,245,11,0,4.49
2023-03-12,Assembly B,No Defect,Afternoon,Inspector 2,299,0,1,0.0
2023-03-13,Sub-System Z,No Defect,Morning,Inspector 3,62,0,1,0.0
2023-03-13,Component X,Dimensional Error,Morning,Inspector 3,281,10,0,3.56
2023-03-13,Sub-System Z,Surface Defect,Afternoon,Inspector 2,288,6,0,2.08
2023-03-13,Component Y,Dimensional Error,Afternoon,Inspector 3,169,3,0,1.78
2023-03-13,Sub-System Z,No Defect,Morning,Inspector 1,226,0,1,0.0
2023-03-14,Sub-System Z,No Defect,Afternoon,Inspector 4,157,0,1,0.0
2023-03-14,Component Y,No Defect,Afternoon,Inspector 4,109,0,1,0.0
2023-03-14,Assembly A,No Defect,Afternoon,Inspector 1,236,0,1,0.0
2023-03-14,Assembly A,Material Flaw,Morning,Inspector 3,245,13,0,5.31
2023-03-15,Component Y,Material Flaw,Morning,Inspector 4,165,14,0,8.48
2023-03-15,Sub-System Z,No Defect,Night,Inspector 1,101,0,1,0.0
2023-03-16,Assembly B,Assembly Fault,Night,Inspector 1,243,13,0,5.35
2023-03-16,Assembly B,No Defect,Morning,Inspector 2,227,0,1,0.0
2023-03-17,Assembly A,No Defect,Afternoon,Inspector 2,155,0,1,0.0
2023-03-17,Component Y,Material Flaw,Morning,Inspector 1,178,10,0,5.62
2023-03-17,Component X,No Defect,Night,Inspector 2,250,0,1,0.0
2023-03-17,Component Y,Material Flaw,Morning,Inspector 2,90,7,0,7.78
2023-03-18,Sub-System Z,Assembly Fault,Night,Inspector 2,169,4,0,2.37
2023-03-19,Assembly B,No Defect,Morning,Inspector 2,298,0,1,0.0
2023-03-19,Assembly B,No Defect,Morning,Inspector 4,241,0,1,0.0
2023-03-19,Component X,No Defect,Morning,Inspector 2,233,0,1,0.0
2023-03-20,Assembly A,Surface Defect,Morning,Inspector 3,118,12,0,10.17
2023-03-20,Sub-System Z,No Defect,Afternoon,Inspector 4,173,0,1,0.0
2023-03-21,Sub-System Z,No Defect,Morning,Inspector 4,276,0,1,0.0
2023-03-22,Component X,No Defect,Afternoon,Inspector 4,103,0,1,0.0
2023-03-23,Assembly B,Surface Defect,Morning,Inspector 4,152,8,0,5.26
2023-03-23,Component Y,No Defect,Night,Inspector 2,211,0,1,0.0
2023-03-23,Sub-System Z,No Defect,Night,Inspector 4,221,0,1,0.0
2023-03-24,Assembly A,Dimensional Error,Morning,Inspector 4,239,14,0,5.86
2023-03-24,Component X,No Defect,Night,Inspector 1,77,0,1,0.0
2023-03-25,Component X,No Defect,Morning,Inspector 2,180,0,1,0.0
2023-03-25,Assembly B,Dimensional Error,Morning,Inspector 3,138,9,0,6.52
2023-03-25,Assembly A,Surface Defect,Afternoon,Inspector 3,192,9,0,4.69
2023-03-25,Assembly B,Material Flaw,Morning,Inspector 4,90,3,0,3.33
2023-03-25,Component X,Surface Defect,Afternoon,Inspector 2,233,4,0,1.72
2023-03-25,Assembly A,No Defect,Afternoon,Inspector 2,190,0,1,0.0
2023-03-27,Component X,No Defect,Afternoon,Inspector 4,109,0,1,0.0
2023-03-27,Component Y,No Defect,Morning,Inspector 2,179,0,1,0.0
2023-03-27,Assembly A,No Defect,Morning,Inspector 2,84,0,1,0.0
2023-03-29,Assembly A,No Defect,Morning,Inspector 2,258,0,1,0.0
2023-03-29,Component Y,Material Flaw,Morning,Inspector 3,52,14,0,26.92
2023-03-30,Assembly B,No Defect,Night,Inspector 4,63,0,1,0.0
2023-03-31,Assembly A,Assembly Fault,Night,Inspector 2,181,1,0,0.55
2023-03-31,Assembly A,No Defect,Morning,Inspector 1,232,0,1,0.0
2023-03-31,Assembly B,No Defect,Morning,Inspector 2,237,0,1,0.0
2023-03-31,Assembly B,No Defect,Afternoon,Inspector 2,168,0,1,0.0
2023-04-01,Assembly B,Material Flaw,Morning,Inspector 1,50,11,0,22.0
2023-04-01,Assembly B,No Defect,Afternoon,Inspector 1,107,0,1,0.0
2023-04-01,Assembly B,No Defect,Morning,Inspector 3,162,0,1,0.0
2023-04-01,Sub-System Z,No Defect,Morning,Inspector 3,212,0,1,0.0
2023-04-02,Component Y,Surface Defect,Morning,Inspector 2,279,4,0,1.43
2023-04-02,Component Y,No Defect,Afternoon,Inspector 1,205,0,1,0.0
2023-04-03,Component Y,No Defect,Morning,Inspector 2,84,0,1,0.0
2023-04-03,Sub-System Z,No Defect,Morning,Inspector 4,110,0,1,0.0
2023-04-04,Assembly B,No Defect,Morning,Inspector 2,232,0,1,0.0
2023-04-04,Sub-System Z,No Defect,Morning,Inspector 4,89,0,1,0.0
2023-04-05,Assembly A,No Defect,Afternoon,Inspector 3,70,0,1,0.0
2023-04-06,Component X,No Defect,Morning,Inspector 2,262,0,1,0.0
2023-04-06,Assembly B,Material Flaw,Night,Inspector 3,187,8,0,4.28
2023-04-06,Sub-System Z,Surface Defect,Night,Inspector 1,205,5,0,2.44
2023-04-06,Sub-System Z,No Defect,Afternoon,Inspector 4,177,0,1,0.0
2023-04-06,Sub-System Z,No Defect,Afternoon,Inspector 4,274,0,1,0.0
2023-04-07,Assembly A,Dimensional Error,Morning,Inspector 2,292,13,0,4.45
2023-04-07,Assembly B,Surface Defect,Morning,Inspector 1,88,6,0,6.82
2023-04-07,Sub-System Z,No Defect,Afternoon,Inspector 1,167,0,1,0.0
2023-04-07,Assembly A,Dimensional Error,Morning,Inspector 2,76,11,0,14.47
2023-04-08,Sub-System Z,Surface Defect,Afternoon,Inspector 4,176,6,0,3.41
2023-04-08,Component X,No Defect,Afternoon,Inspector 4,137,0,1,0.0
2023-04-08,Assembly B,No Defect,Afternoon,Inspector 2,69,0,1,0.0
2023-04-08,Assembly B,No Defect,Morning,Inspector 3,208,0,1,0.0
2023-04-08,Sub-System Z,No Defect,Morning,Inspector 4,299,0,1,0.0
2023-04-09,Assembly B,No Defect,Night,Inspector 3,261,0,1,0.0
2023-04-09,Assembly B,No Defect,Afternoon,Inspector 3,76,0,1,0.0
2023-04-09,Sub-System Z,No Defect,Afternoon,Inspector 1,152,0,1,0.0
2023-04-09,Component Y,Assembly Fault,Afternoon,Inspector 1,201,10,0,4.98
2023-04-09,Component X,Surface Defect,Morning,Inspector 2,222,7,0,3.15
2023-04-10,Component X,No Defect,Morning,Inspector 4,114,0,1,0.0
2023-04-10,Component Y,Surface Defect,Afternoon,Inspector 1,236,14,0,5.93
2023-04-10,Component X,Surface Defect,Afternoon,Inspector 4,285,14,0,4.91
2023-04-11,Component Y,Assembly Fault,Afternoon,Inspector 3,227,5,0,2.2
2023-04-11,Component Y,No Defect,Night,Inspector 3,289,0,1,0.0
2023-04-11,Assembly B,No Defect,Afternoon,Inspector 4,146,0,1,0.0
2023-04-11,Assembly A,No Defect,Night,Inspector 3,165,0,1,0.0
2023-04-12,Assembly B,No Defect,Afternoon,Inspector 2,123,0,1,0.0
2023-04-13,Component Y,No Defect,Night,Inspector 4,238,0,1,0.0
2023-04-13,Assembly A,No Defect,Morning,Inspector 2,94,0,1,0.0
2023-04-13,Component Y,No Defect,Afternoon,Inspector 2,131,0,1,0.0
2023-04-13,Component Y,No Defect,Afternoon,Inspector 4,196,0,1,0.0
2023-04-14,Component X,No Defect,Afternoon,Inspector 2,284,0,1,0.0
2023-04-14,Assembly A,Dimensional Error,Afternoon,Inspector 4,88,13,0,14.77
2023-04-14,Component Y,No Defect,Night,Inspector 3,103,0,1,0.0
2023-04-15,Assembly B,No Defect,Night,Inspector 1,59,0,1,0.0
2023-04-15,Assembly A,Dimensional Error,Morning,Inspector 3,136,5,0,3.68
2023-04-15,Assembly B,No Defect,Night,Inspector 3,250,0,1,0.0
2023-04-15,Component Y,No Defect,Afternoon,Inspector 3,235,0,1,0.0
2023-04-15,Assembly B,No Defect,Morning,Inspector 4,194,0,1,0.0
2023-04-16,Component X,No Defect,Night,Inspector 3,141,0,1,0.0
2023-04-16,Component Y,Dimensional Error,Night,Inspector 2,267,12,0,4.49
2023-04-16,Component Y,No Defect,Afternoon,Inspector 1,126,0,1,0.0
2023-04-18,Component X,Surface Defect,Afternoon,Inspector 3,124,13,0,10.48
2023-04-18,Assembly A,No Defect,Night,Inspector 4,155,0,1,0.0
2023-04-18,Assembly B,No Defect,Night,Inspector 2,90,0,1,0.0
2023-04-19,Assembly B,Assembly Fault,Night,Inspector 2,195,5,0,2.56
2023-04-19,Component Y,No Defect,Morning,Inspector 1,190,0,1,0.0
2023-04-19,Component X,Assembly Fault,Afternoon,Inspector 2,195,5,0,2.56
2023-04-20,Sub-System Z,Material Flaw,Afternoon,Inspector 3,77,1,0,1.3
2023-04-20,Sub-System Z,No Defect,Night,Inspector 1,250,0,1,0.0
2023-04-20,Sub-System Z,No Defect,Afternoon,Inspector 4,298,0,1,0.0
2023-04-21,Sub-System Z,No Defect,Night,Inspector 3,249,0,1,0.0
2023-04-21,Assembly A,No Defect,Night,Inspector 3,167,0,1,0.0
2023-04-21,Assembly B,No Defect,Night,Inspector 1,66,0,1,0.0
2023-04-22,Component X,Material Flaw,Morning,Inspector 2,289,11,0,3.81
2023-04-22,Component Y,No Defect,Night,Inspector 4,171,0,1,0.0
2023-04-23,Assembly A,No Defect,Night,Inspector 2,261,0,1,0.0
2023-04-23,Sub-System Z,Surface Defect,Night,Inspector 3,233,11,0,4.72
2023-04-24,Sub-System Z,Assembly Fault,Night,Inspector 4,71,10,0,14.08
2023-04-24,Component Y,No Defect,Afternoon,Inspector 1,79,0,1,0.0
2023-04-24,Component Y,Surface Defect,Morning,Inspector 3,224,1,0,0.45
2023-04-25,Component Y,No Defect,Night,Inspector 1,187,0,1,0.0
2023-04-25,Sub-System Z,Dimensional Error,Night,Inspector 2,92,7,0,7.61
2023-04-25,Assembly B,Material Flaw,Morning,Inspector 2,74,4,0,5.41
2023-04-25,Assembly B,No Defect,Morning,Inspector 1,119,0,1,0.0
2023-04-26,Sub-System Z,No Defect,Night,Inspector 2,255,0,1,0.0
2023-04-26,Sub-System Z,No Defect,Morning,Inspector 1,145,0,1,0.0
2023-04-26,Component Y,No Defect,Morning,Inspector 3,159,0,1,0.0
2023-04-27,Component X,Dimensional Error,Morning,Inspector 2,190,4,0,2.11
2023-04-27,Assembly B,Surface Defect,Afternoon,Inspector 4,74,4,0,5.41
2023-04-27,Assembly B,No Defect,Afternoon,Inspector 3,211,0,1,0.0
2023-04-27,Component Y,No Defect,Morning,Inspector 3,52,0,1,0.0
2023-04-27,Assembly B,No Defect,Afternoon,Inspector 3,249,0,1,0.0
2023-04-27,Assembly B,Surface Defect,Morning,Inspector 1,96,5,0,5.21
2023-04-28,Assembly B,Assembly Fault,Afternoon,Inspector 3,156,14,0,8.97
2023-04-28,Component Y,No Defect,Night,Inspector 2,233,0,1,0.0
2023-04-28,Sub-System Z,No Defect,Morning,Inspector 2,58,0,1,0.0
2023-04-28,Component Y,No Defect,Night,Inspector 1,186,0,1,0.0
2023-04-28,Assembly B,No Defect,Night,Inspector 3,240,0,1,0.0
2023-04-29,Assembly B,No Defect,Night,Inspector 4,51,0,1,0.0
2023-04-30,Component Y,No Defect,Night,Inspector 1,219,0,1,0.0
2023-04-30,Assembly A,No Defect,Night,Inspector 1,249,0,1,0.0
2023-04-30,Assembly B,No Defect,Morning,Inspector 4,159,0,1,0.0
2023-04-30,Component X,No Defect,Afternoon,Inspector 4,224,0,1,0.0
2023-05-01,Assembly A,No Defect,Morning,Inspector 4,206,0,1,0.0
2023-05-02,Component Y,No Defect,Night,Inspector 1,244,0,1,0.0
2023-05-03,Component X,Dimensional Error,Morning,Inspector 3,84,6,0,7.14
2023-05-03,Component Y,No Defect,Afternoon,Inspector 4,156,0,1,0.0
2023-05-03,Component X,No Defect,Morning,Inspector 4,292,0,1,0.0
2023-05-04,Sub-System Z,No Defect,Afternoon,Inspector 4,67,0,1,0.0
2023-05-04,Assembly A,No Defect,Night,Inspector 4,240,0,1,0.0
2023-05-04,Component X,No Defect,Afternoon,Inspector 2,247,0,1,0.0
2023-05-05,Sub-System Z,Material Flaw,Night,Inspector 2,74,12,0,16.22
2023-05-06,Assembly B,No Defect,Morning,Inspector 1,88,0,1,0.0
2023-05-06,Assembly B,No Defect,Morning,Inspector 3,165,0,1,0.0
2023-05-06,Sub-System Z,Material Flaw,Night,Inspector 4,194,6,0,3.09
2023-05-07,Assembly A,No Defect,Morning,Inspector 2,77,0,1,0.0
2023-05-08,Assembly B,No Defect,Afternoon,Inspector 2,285,0,1,0.0
2023-05-08,Sub-System Z,No Defect,Night,Inspector 3,106,0,1,0.0
2023-05-08,Component X,Material Flaw,Morning,Inspector 1,247,11,0,4.45
2023-05-08,Assembly B,No Defect,Night,Inspector 2,246,0,1,0.0
2023-05-08,Assembly A,No Defect,Morning,Inspector 2,58,0,1,0.0
2023-05-09,Assembly B,No Defect,Morning,Inspector 2,174,0,1,0.0
2023-05-10,Assembly B,No Defect,Morning,Inspector 4,193,0,1,0.0
2023-05-10,Component X,Material Flaw,Afternoon,Inspector 1,139,3,0,2.16
